,Genome,testgenome_gene_name,db_gene_name,pident,slength,coverage,querystart,queryend,db,score
0,44532_all_db3,NODE_2_length_344539_cov_81.2571,C_parvum_AAEE01000005.299599.301356_GENOTYPE_NAN_18s,100.0,1758.0,0.9994311717861206,92622.0,94379.0,18s,99.94311717861206
1,44532_all_db3,NODE_33_length_89096_cov_83.6544,C_parvum_M86241_actin,100.0,1062.0,0.9990583804143126,69033.0,70094.0,actin,99.90583804143127
2,44532_all_db3,NODE_33_length_89096_cov_83.6544,C_parvum_GQ259146_isolate_hedgehog_I64-18_actin,99.81200000000001,1062.0,0.9990583804143126,69033.0,70094.0,actin,99.71801506591338
3,44532_all_db3,NODE_33_length_89096_cov_83.6544,C_parvum_GQ259150_isolate_hedgehog_II60-77_actin,99.71799999999999,1062.0,0.9990583804143126,69033.0,70094.0,actin,99.62410357815442
4,44532_all_db3,NODE_70_length_32781_cov_99.4425,C_parvum_AB542116_isolate_Sakha102_hsp70,100.0,308.0,0.9967532467532468,13757.0,14064.0,hsp70,99.67532467532469
5,44532_all_db3,NODE_70_length_32781_cov_99.4425,C_parvum_GQ259147_isolate_hedgehog_I64-18_hsp70,99.675,308.0,0.9967532467532468,13757.0,14064.0,hsp70,99.35137987012988
6,44532_all_db3,NODE_70_length_32781_cov_99.4425,C_parvum_GQ259151_isolate_hedgehog_II60-77_hsp70,99.675,308.0,0.9967532467532468,13757.0,14064.0,hsp70,99.35137987012988
7,44532_all_db3,NODE_155_length_1757_cov_149.962,C_PARVUM_AB513864_I_Genotype_NAN_18s,99.943,1746.0,0.9994272623138604,5.0,1750.0,18s,99.88575887743414
8,44532_all_db3,NODE_155_length_1757_cov_149.962,C_sp._AF108863.1.1753_GENOTYPE_NAN_18s,99.601,1753.0,0.9971477467199088,5.0,1753.0,18s,99.31691272104963
9,44532_all_db3,NODE_155_length_1757_cov_149.962,C_sp._AF108865.1.1753_GENOTYPE_NAN_18s,99.48700000000001,1753.0,0.9971477467199088,5.0,1753.0,18s,99.20323787792357
